log_entropy,IR_norm_range,entropy_x_contrast
-3.984593698,0.366954967,24.06646374
-3.844364357,0.260208,20.39803274
-3.759301918,0.222757792,19.05163178
-3.835061964,0.228452903,21.95549928
-3.742280231,0.19411625,21.86226408
-3.231454607,0.084331902,15.15088465
-2.785471348,0.039419355,13.0804
-2.132842318,0.01694697,5.5670352
-2.922481812,0.05104712,12.24801654
-3.537017105,0.159428571,21.30132222
-1.316395234,-0.176787267,0.79424625
-1.056702886,-0.299150544,0.53009
-1.076752954,-0.308668244,0.59196625
-1.583282955,-0.656511201,1.22580524
-1.984131362,-0.60934211,2.51453125
-2.491327218,-0.613428738,4.01441724
-1.030860187,-0.259668395,3.33068625
-1.47359669,-0.525832692,1.79080597
-2.217325249,-0.40635979,5.35969863
-1.535722875,-0.56366746,1.57797676
